,Month_ending,Year,County,State,Primary_use,Battery_BEVs,Hybrid_(PHEVs),EV_Total,Non-Electric_Total,Total_Veh,%_Electric
3111,December,2017,Skamania,WA,Truck,0,0,0,3896,3896,0.0
3112,December,2017,Lewis,WA,Truck,0,0,0,25311,25311,0.0
3113,December,2017,Kent,MI,Passenger,0,1,1,34,35,2.86
3114,December,2017,St. Lucie,FL,Passenger,1,0,1,26,27,3.7
3115,December,2017,Riverside,CA,Passenger,1,2,3,739,742,0.4
3116,December,2017,Whitman,WA,Truck,0,0,0,8450,8450,0.0
3117,December,2017,Lumpkin,GA,Passenger,1,0,1,9,10,10.0
3118,December,2017,Klickitat,WA,Passenger,23,26,49,14902,14951,0.33
3119,December,2017,Franklin,MA,Passenger,0,1,1,4,5,20.0
3120,December,2017,San Diego,CA,Passenger,6,1,7,2563,2570,0.27
3121,December,2017,Walla Walla,WA,Passenger,29,32,61,35287,35348,0.17
3122,December,2017,Mason,WA,Passenger,66,75,141,44844,44985,0.31
3123,December,2017,Maricopa,AZ,Passenger,2,0,2,1621,1623,0.12
3124,December,2017,Hawaii,HI,Passenger,1,0,1,78,79,1.27
3125,December,2017,Grays Harbor,WA,Passenger,42,41,83,45821,45904,0.18
3126,December,2017,Brevard,FL,Passenger,0,1,1,101,102,0.98
3127,December,2017,Lincoln,WA,Truck,0,0,0,4493,4493,0.0
3128,December,2017,Chelan,WA,Passenger,86,38,124,53028,53152,0.23
3129,December,2017,Clallam,WA,Truck,0,0,0,21218,21218,0.0
3130,December,2017,Jefferson,NY,Passenger,1,0,1,232,233,0.43
3131,December,2017,Charles,MD,Passenger,0,1,1,85,86,1.16
3132,December,2017,Sedgwick,KS,Passenger,0,1,1,106,107,0.93
3133,December,2017,Saratoga,NY,Passenger,1,1,2,69,71,2.82
3134,December,2017,Montgomery,MD,Passenger,1,0,1,300,301,0.33
3135,December,2017,Essex,NJ,Passenger,1,0,1,10,11,9.09
3136,December,2017,El Paso,CO,Passenger,2,0,2,764,766,0.26
3137,December,2017,Franklin,WA,Passenger,30,50,80,56860,56940,0.14
3138,December,2017,Orleans,LA,Passenger,0,1,1,47,48,2.08
3139,December,2017,Frederick,MD,Passenger,0,1,1,88,89,1.12
3140,December,2017,Volusia,FL,Passenger,0,1,1,37,38,2.63
3141,December,2017,Pinal,AZ,Passenger,2,0,2,213,215,0.93
3142,December,2017,Skagit,WA,Truck,1,0,1,31731,31732,0.0
3143,December,2017,Cape May,NJ,Passenger,0,1,1,22,23,4.35
3144,December,2018,Franklin,WA,Truck,0,0,0,19057,19057,0.0
3145,December,2018,Arlington,VA,Passenger,1,1,2,165,167,1.2
3146,December,2018,Franklin,MA,Passenger,0,1,1,1,2,50.0
3147,December,2018,Carroll,NH,Passenger,0,1,1,1,2,50.0
3148,December,2018,Snohomish,WA,Truck,1,0,1,121967,121968,0.0
3149,December,2018,Skamania,WA,Passenger,16,13,29,8731,8760,0.33
3150,December,2018,Wahkiakum,WA,Passenger,1,1,2,2979,2981,0.07
3151,December,2018,Kitsap,WA,Passenger,946,544,1490,179830,181320,0.82
3152,December,2018,Pacific,WA,Passenger,21,25,46,15834,15880,0.29
3153,December,2018,Grays Harbor,WA,Passenger,62,72,134,47465,47599,0.28
3154,December,2018,Tuolumne,CA,Passenger,0,1,1,13,14,7.14
3155,December,2018,Asotin,WA,Passenger,12,9,21,12724,12745,0.16
3156,December,2018,Caddo,LA,Passenger,0,1,1,21,22,4.55
3157,December,2018,Chelan,WA,Passenger,140,61,201,54138,54339,0.37
3158,December,2018,Fulton,GA,Passenger,1,2,3,108,111,2.7
3159,December,2018,Cowlitz,WA,Passenger,72,94,166,72436,72602,0.23
3160,December,2018,Walla Walla,WA,Passenger,41,52,93,36097,36190,0.26
3161,December,2018,Pacific,WA,Truck,0,0,0,7614,7614,0.0
3162,December,2018,Twin Falls,ID,Passenger,0,1,1,23,24,4.17
3163,December,2018,Monroe,IL,Passenger,1,0,1,4,5,20.0
3164,December,2018,Lane,OR,Passenger,0,1,1,169,170,0.59
3165,December,2018,District of Columbia,DC,Passenger,1,3,4,197,201,1.99
3166,December,2018,New London,CT,Passenger,0,2,2,252,254,0.79
3167,December,2018,Cumberland,NC,Passenger,0,1,1,522,523,0.19
3169,December,2018,El Paso,CO,Passenger,3,1,4,763,767,0.52
3170,December,2018,Nantucket,MA,Passenger,1,0,1,4,5,20.0
3171,December,2018,Jefferson,WA,Passenger,168,106,274,24838,25112,1.09
3172,December,2018,Fairfax,VA,Passenger,3,2,5,808,813,0.62
3173,December,2018,DeKalb,GA,Passenger,1,0,1,77,78,1.28
3174,December,2018,Pend Oreille,WA,Truck,0,0,0,5738,5738,0.0
3175,December,2018,Jefferson,WA,Truck,0,0,0,9606,9606,0.0
3176,December,2018,Bexar,TX,Passenger,3,4,7,711,718,0.97
3177,December,2018,Prince William,VA,Passenger,0,4,4,254,258,1.55
3178,December,2018,Snohomish,WA,Passenger,2915,1437,4352,527237,531589,0.82
3179,December,2018,Chelan,WA,Truck,0,0,0,22052,22052,0.0
3180,December,2018,Richland,SC,Passenger,0,1,1,162,163,0.61
3181,December,2018,Tarrant,TX,Passenger,1,0,1,204,205,0.49
3182,December,2018,Harnett,NC,Passenger,1,0,1,228,229,0.44
3183,December,2018,El Paso,TX,Passenger,1,0,1,495,496,0.2
3184,December,2018,Jefferson,NY,Passenger,0,1,1,228,229,0.44
3185,December,2018,Fresno,CA,Passenger,1,0,1,190,191,0.52
3186,December,2018,Clay,FL,Passenger,0,1,1,87,88,1.14
3187,December,2018,Grant,WA,Passenger,32,52,84,64196,64280,0.13
3188,December,2018,Nueces,TX,Passenger,1,1,2,93,95,2.11
3189,December,2018,Multnomah,OR,Passenger,3,5,8,764,772,1.04
3190,December,2018,Marion,IN,Passenger,1,0,1,119,120,0.83
3191,December,2018,Cowlitz,WA,Truck,0,0,0,28739,28739,0.0
3192,December,2018,Cochise,AZ,Passenger,0,1,1,119,120,0.83
3193,December,2018,Richmond,GA,Passenger,0,1,1,90,91,1.1
3194,December,2018,Klickitat,WA,Passenger,28,32,60,15431,15491,0.39
3195,December,2018,Franklin,WA,Passenger,45,66,111,59124,59235,0.19
3196,December,2018,Grays Harbor,WA,Truck,0,0,0,20356,20356,0.0
3197,December,2018,Kittitas,WA,Passenger,66,37,103,29339,29442,0.35
3198,December,2018,Skagit,WA,Truck,1,0,1,32318,32319,0.0
3199,December,2018,Middlesex,MA,Passenger,1,1,2,128,130,1.54
3200,December,2018,Maui,HI,Passenger,1,0,1,51,52,1.92
3201,December,2018,Beaufort,SC,Passenger,1,0,1,34,35,2.86
3202,December,2018,Lincoln,WA,Truck,0,0,0,4639,4639,0.0
3203,December,2018,Sedgwick,KS,Passenger,0,1,1,98,99,1.01
3204,December,2018,Santa Rosa,FL,Passenger,1,0,1,88,89,1.12
3205,December,2018,Ferry,WA,Truck,0,0,0,3585,3585,0.0
3206,December,2018,Skamania,WA,Truck,0,0,0,4008,4008,0.0
3207,December,2018,Garfield,WA,Passenger,1,1,2,1329,1331,0.15
3208,December,2018,Manassas,VA,Passenger,0,1,1,9,10,10.0
3209,December,2018,Kent,MI,Passenger,0,1,1,23,24,4.17
3210,December,2018,St. Lucie,FL,Passenger,1,0,1,30,31,3.23
3211,December,2018,Clallam,WA,Passenger,150,124,274,50353,50627,0.54
3212,December,2018,Flathead,MT,Passenger,1,0,1,56,57,1.75
3213,December,2018,Yakima,WA,Truck,0,0,0,58848,58848,0.0
3214,December,2018,Clallam,WA,Truck,0,0,0,21642,21642,0.0
3215,December,2018,Douglas,WA,Truck,0,0,0,12160,12160,0.0
3216,December,2018,Sumter,FL,Passenger,0,1,1,10,11,9.09
3217,December,2018,St. Clair,IL,Passenger,0,1,1,165,166,0.6
3218,December,2018,Nassau,NY,Passenger,3,0,3,35,38,7.89
3219,December,2018,Columbia,WA,Truck,0,0,0,1517,1517,0.0
3220,December,2018,Howard,MD,Passenger,0,1,1,84,85,1.18
3221,December,2018,Montgomery,TX,Passenger,2,0,2,61,63,3.17
3222,December,2018,Benton,WA,Passenger,227,235,462,132930,133392,0.35
3223,December,2018,Washtenaw,MI,Passenger,1,0,1,40,41,2.44
3224,December,2018,San Juan,WA,Truck,0,0,0,5818,5818,0.0
3225,December,2018,Thurston,WA,Passenger,739,572,1311,195602,196913,0.67
3226,December,2018,Maricopa,AZ,Passenger,3,2,5,1544,1549,0.32
3227,December,2018,Los Angeles,CA,Passenger,7,5,12,1105,1117,1.07
3228,December,2018,Duval,FL,Passenger,1,2,3,381,384,0.78
3229,December,2018,Bucks,PA,Passenger,1,0,1,16,17,5.88
3230,December,2018,Hawaii,HI,Passenger,1,0,1,62,63,1.59
3231,December,2018,Santa Cruz,CA,Passenger,1,0,1,41,42,2.38
3232,December,2018,Cape May,NJ,Passenger,0,1,1,21,22,4.55
3233,December,2018,Guadalupe,TX,Passenger,1,0,1,79,80,1.25
3234,December,2018,Kittitas,WA,Truck,0,0,0,14196,14196,0.0
3235,December,2018,Riverside,CA,Passenger,2,2,4,677,681,0.59
3236,December,2018,Houston,GA,Passenger,1,0,1,51,52,1.92
3237,December,2018,Dakota,MN,Passenger,0,2,2,34,36,5.56
3238,December,2018,San Juan,WA,Passenger,183,69,252,14224,14476,1.74
3239,December,2018,Tulsa,OK,Passenger,1,1,2,47,49,4.08
3240,December,2018,Albemarle,VA,Passenger,1,0,1,25,26,3.85
3241,December,2018,Adams,WA,Truck,0,0,0,5149,5149,0.0
3242,December,2018,Charles,MD,Passenger,0,1,1,76,77,1.3
3243,December,2018,Suffolk,MA,Passenger,0,1,1,42,43,2.33
3244,December,2018,Orange,FL,Passenger,2,0,2,166,168,1.19
3245,December,2018,Whatcom,WA,Truck,2,0,2,42664,42666,0.0
3246,December,2018,Polk,FL,Passenger,1,0,1,64,65,1.54
3247,December,2018,Pima,AZ,Passenger,1,1,2,399,401,0.5
3248,December,2018,Douglas,NE,Passenger,0,1,1,67,68,1.47
3249,December,2018,Deschutes,OR,Passenger,2,0,2,165,167,1.2
3250,December,2018,Lewis,WA,Passenger,93,77,170,58326,58496,0.29
3251,December,2018,Clackamas,OR,Passenger,1,1,2,214,216,0.93
3252,December,2018,Whatcom,WA,Passenger,757,371,1128,149448,150576,0.75
3253,December,2018,Washoe,NV,Passenger,2,0,2,110,112,1.79
3254,December,2018,Bergen,NJ,Passenger,1,0,1,27,28,3.57
3255,December,2018,Mason,WA,Passenger,107,110,217,46462,46679,0.46
3256,December,2018,Mason,WA,Truck,0,0,0,20192,20192,0.0
3257,December,2018,San Francisco,CA,Passenger,2,1,3,115,118,2.54
3258,December,2018,Cook,IL,Passenger,1,0,1,247,248,0.4
3259,December,2018,Larimer,CO,Passenger,1,0,1,60,61,1.64
3260,December,2018,Virginia Beach,VA,Passenger,2,1,3,695,698,0.43
3261,December,2018,Goochland,VA,Passenger,0,1,1,243,244,0.41
3262,December,2018,Thurston,WA,Truck,0,0,0,54873,54873,0.0
3263,December,2018,Jefferson,CO,Passenger,0,2,2,61,63,3.17
3264,December,2018,Island,WA,Truck,0,0,0,21185,21185,0.0
3265,December,2018,Garfield,WA,Truck,0,0,0,965,965,0.0
3266,December,2018,Rogers,OK,Passenger,1,0,1,5,6,16.67
3267,December,2018,Lewis,WA,Truck,0,0,0,25634,25634,0.0
3268,December,2018,Yakima,WA,Passenger,82,99,181,164762,164943,0.11
3269,December,2018,Sangamon,IL,Passenger,1,0,1,9,10,10.0
3270,December,2018,Frederick,MD,Passenger,0,1,1,79,80,1.25
3271,December,2018,Benton,WA,Truck,0,0,0,41561,41561,0.0
3272,December,2018,Manatee,FL,Passenger,1,0,1,37,38,2.63
3273,December,2018,Marion,OR,Passenger,1,0,1,117,118,0.85
3274,December,2018,St. Mary's,MD,Passenger,1,0,1,214,215,0.47
3275,December,2018,Ventura,CA,Passenger,0,2,2,319,321,0.62
3276,December,2018,Pierce,WA,Truck,0,0,0,139122,139122,0.0
3277,December,2018,Pinal,AZ,Passenger,2,0,2,200,202,0.99
3278,December,2018,Clark,NV,Passenger,2,2,4,719,723,0.55
3279,December,2018,Kootenai,ID,Passenger,1,1,2,218,220,0.91
3280,December,2018,Dale,AL,Passenger,0,1,1,56,57,1.75
3281,December,2018,Travis,TX,Passenger,1,1,2,197,199,1.01
3282,December,2018,Hennepin,MN,Passenger,2,0,2,105,107,1.87
3283,December,2018,Grant,WA,Truck,0,0,0,26258,26258,0.0
3284,December,2018,Honolulu,HI,Passenger,1,3,4,516,520,0.77
3285,December,2018,Denver,CO,Passenger,1,0,1,128,129,0.78
3286,December,2018,Ferry,WA,Passenger,3,2,5,4383,4388,0.11
3287,December,2018,Norfolk,VA,Passenger,2,2,4,341,345,1.16
3288,December,2018,Garfield,OK,Passenger,1,0,1,13,14,7.14
3289,December,2018,Norfolk,MA,Passenger,1,0,1,36,37,2.7
3290,December,2018,Camden,NJ,Passenger,0,1,1,28,29,3.45
3291,December,2018,Ada,ID,Passenger,0,2,2,312,314,0.64
3292,December,2018,Spokane,WA,Truck,1,0,1,93762,93763,0.0
3293,December,2018,Hardin,KY,Passenger,0,1,1,107,108,0.93
3294,December,2018,Asotin,WA,Truck,0,0,0,6635,6635,0.0
3295,December,2018,Madison,ID,Passenger,1,0,1,35,36,2.78
3296,December,2018,Valencia,NM,Passenger,1,0,1,10,11,9.09
3297,December,2018,Carson City,NV,Passenger,1,0,1,15,16,6.25
3298,December,2018,Montgomery,PA,Passenger,2,0,2,35,37,5.41
3299,December,2018,Adams,WA,Passenger,5,6,11,12744,12755,0.09
3300,December,2018,San Juan,PR,Passenger,0,1,1,5,6,16.67
3301,December,2018,DuPage,IL,Passenger,1,0,1,59,60,1.67
3302,December,2018,King,WA,Truck,6,1,7,182653,182660,0.0
3303,December,2018,Santa Fe,NM,Passenger,0,1,1,41,42,2.38
3304,December,2018,New Haven,CT,Passenger,0,1,1,49,50,2.0
3305,December,2018,DeKalb,IN,Passenger,1,0,1,1,2,50.0
3306,December,2018,Clark,WA,Passenger,1246,841,2087,311394,313481,0.67
3307,December,2018,Washington,OR,Passenger,0,1,1,471,472,0.21
3308,December,2018,Kitsap,WA,Truck,1,0,1,53636,53637,0.0
3309,December,2018,Douglas,WA,Passenger,50,34,84,28009,28093,0.3
3310,December,2018,San Mateo,CA,Passenger,2,1,3,128,131,2.29
3311,December,2018,Collin,TX,Passenger,1,1,2,145,147,1.36
3312,December,2018,Shasta,CA,Passenger,1,0,1,42,43,2.33
3313,December,2018,Island,WA,Passenger,276,225,501,63178,63679,0.79
3314,December,2018,Saratoga,NY,Passenger,1,0,1,62,63,1.59
3315,December,2018,Lee,AL,Passenger,1,0,1,36,37,2.7
3316,December,2018,Williamson,TX,Passenger,0,1,1,147,148,0.68
3317,December,2018,Ramsey,MN,Passenger,1,0,1,39,40,2.5
3318,December,2018,Brevard,FL,Passenger,0,1,1,94,95,1.05
3319,December,2018,Skagit,WA,Passenger,259,187,446,91196,91642,0.49
3320,December,2018,Portsmouth,VA,Passenger,0,1,1,81,82,1.22
3321,December,2018,Lumpkin,GA,Passenger,1,0,1,7,8,12.5
3322,December,2018,Charleston,SC,Passenger,1,0,1,123,124,0.81
3323,December,2018,Gwinnett,GA,Passenger,0,1,1,78,79,1.27
3324,December,2018,Randolph,NC,Passenger,1,0,1,6,7,14.29
3325,December,2018,Santa Clara,CA,Passenger,8,1,9,372,381,2.36
3326,December,2018,Klickitat,WA,Truck,0,0,0,8209,8209,0.0
3327,December,2018,Lincoln,WA,Passenger,2,5,7,7780,7787,0.09
3328,December,2018,Volusia,FL,Passenger,0,1,1,37,38,2.63
3329,December,2018,Pierce,WA,Passenger,1509,1373,2882,538890,541772,0.53
3330,December,2018,Walla Walla,WA,Truck,0,0,0,13523,13523,0.0
3331,December,2018,Juneau,AK,Passenger,0,1,1,43,44,2.27
3332,December,2018,Prince George's,MD,Passenger,1,1,2,183,185,1.08
3333,December,2018,Oldham,KY,Passenger,0,1,1,5,6,16.67
3334,December,2018,Spokane,WA,Passenger,439,373,812,307178,307990,0.26
3335,December,2018,Allegheny,PA,Passenger,1,0,1,81,82,1.22
3336,December,2018,Stevens,WA,Truck,0,0,0,18764,18764,0.0
3337,December,2018,Moore,NC,Passenger,0,1,1,191,192,0.52
3338,December,2018,Montgomery,AL,Passenger,0,1,1,46,47,2.13
3339,December,2018,Palm Beach,FL,Passenger,0,1,1,94,95,1.05
3340,December,2018,Clark,WA,Truck,0,0,0,79840,79840,0.0
3341,December,2018,Orange,CA,Passenger,6,2,8,539,547,1.46
3342,December,2018,Montgomery,MD,Passenger,1,0,1,275,276,0.36
3343,December,2018,Okanogan,WA,Truck,0,0,0,16487,16487,0.0
3344,December,2018,King,WA,Passenger,16280,6530,22810,1378186,1400996,1.63
3345,December,2018,Mecklenburg,NC,Passenger,1,0,1,79,80,1.25
3346,December,2018,Okanogan,WA,Passenger,16,22,38,26070,26108,0.15
3347,December,2018,Contra Costa,CA,Passenger,0,2,2,408,410,0.49
3348,December,2018,Pend Oreille,WA,Passenger,5,5,10,9533,9543,0.1
3349,December,2018,Columbia,WA,Passenger,2,2,4,2421,2425,0.16
3350,December,2018,Alameda,CA,Passenger,0,2,2,323,325,0.62
3351,December,2018,San Diego,CA,Passenger,8,2,10,2569,2579,0.39
3352,December,2018,Shelby,TN,Passenger,0,1,1,98,99,1.01
3353,December,2018,Broward,FL,Passenger,2,1,3,128,131,2.29
3354,December,2018,Klamath,OR,Passenger,1,0,1,37,38,2.63
3355,December,2018,Whitman,WA,Passenger,24,38,62,22811,22873,0.27
3356,December,2018,Lee,FL,Passenger,1,0,1,52,53,1.89
3357,December,2018,Stevens,WA,Passenger,16,27,43,31786,31829,0.14
3358,December,2018,Wahkiakum,WA,Truck,0,0,0,1722,1722,0.0
3359,December,2018,Anne Arundel,MD,Passenger,0,2,2,452,454,0.44
3360,December,2018,Whitman,WA,Truck,0,0,0,8542,8542,0.0
3361,December,2018,Dallas,TX,Passenger,0,1,1,203,204,0.49
3362,December,2019,Charleston,SC,Passenger,1,0,1,109,110,0.91
3363,December,2019,Asotin,WA,Passenger,14,9,23,12679,12702,0.18
3364,December,2019,Hennepin,MN,Passenger,3,1,4,101,105,3.81
3365,December,2019,Jefferson,WA,Truck,0,0,0,9647,9647,0.0
3366,December,2019,Howard,MD,Passenger,0,1,1,74,75,1.33
3367,December,2019,Clallam,WA,Passenger,196,157,353,50869,51222,0.69
3368,December,2019,Lee,FL,Passenger,1,0,1,53,54,1.85
3369,December,2019,Grant,WA,Truck,0,0,0,27002,27002,0.0
3370,December,2019,Washtenaw,MI,Passenger,1,0,1,42,43,2.33
3371,December,2019,Montgomery,TX,Passenger,1,0,1,55,56,1.79
3372,December,2019,Douglas,WA,Passenger,67,38,105,28299,28404,0.37
3373,December,2019,Houston,GA,Passenger,1,0,1,60,61,1.64
3374,December,2019,Fulton,GA,Passenger,0,2,2,104,106,1.89
3375,December,2019,Whitman,WA,Truck,0,0,0,8579,8579,0.0
3376,December,2019,Honolulu,HI,Passenger,4,2,6,479,485,1.24
3377,December,2019,Columbia,WA,Passenger,3,3,6,2449,2455,0.24
3378,December,2019,Boone,MO,Passenger,0,1,1,11,12,8.33
3379,December,2019,Bexar,TX,Passenger,1,5,6,646,652,0.92
3380,December,2019,Calvert,MD,Passenger,0,2,2,91,93,2.15
3381,December,2019,Dakota,MN,Passenger,0,1,1,33,34,2.94
3382,December,2019,Clark,WA,Passenger,1843,1043,2886,317733,320619,0.9
3383,December,2019,Cowlitz,WA,Passenger,118,107,225,73644,73869,0.3
3384,December,2019,Kent,MI,Passenger,0,1,1,24,25,4.0
3385,December,2019,Ada,ID,Passenger,0,1,1,290,291,0.34
3386,December,2019,Carson City,NV,Passenger,1,0,1,10,11,9.09
3387,December,2019,Wahkiakum,WA,Passenger,4,3,7,3041,3048,0.23
3388,December,2019,Klickitat,WA,Passenger,46,38,84,15674,15758,0.53
3389,December,2019,Wahkiakum,WA,Truck,0,0,0,1754,1754,0.0
3390,December,2019,San Juan,WA,Truck,0,0,0,5935,5935,0.0
3391,December,2019,Solano,CA,Passenger,1,0,1,207,208,0.48
3392,December,2019,Clark,NV,Passenger,3,2,5,680,685,0.73
3393,December,2019,Valencia,NM,Passenger,1,0,1,5,6,16.67
3394,December,2019,DeKalb,GA,Passenger,1,0,1,81,82,1.22
3395,December,2019,Columbia,WA,Truck,0,0,0,1537,1537,0.0
3396,December,2019,Berkshire,MA,Passenger,0,1,1,5,6,16.67
3397,December,2019,Juneau,AK,Passenger,0,2,2,29,31,6.45
3398,December,2019,Wayne,MI,Passenger,0,1,1,59,60,1.67
3399,December,2019,Oldham,KY,Passenger,0,1,1,4,5,20.0
3400,December,2019,Pend Oreille,WA,Truck,0,0,0,5771,5771,0.0
3401,December,2019,Cape May,NJ,Passenger,0,1,1,13,14,7.14
3402,December,2019,Cowlitz,WA,Truck,0,0,0,29035,29035,0.0
3403,December,2019,Skagit,WA,Passenger,363,213,576,92637,93213,0.62
3404,December,2019,San Diego,CA,Passenger,9,3,12,2797,2809,0.43
3405,December,2019,Lewis,WA,Passenger,106,102,208,59556,59764,0.35
3406,December,2019,Allegheny,PA,Passenger,1,0,1,74,75,1.33
3407,December,2019,Prince George's,MD,Passenger,1,1,2,172,174,1.15
3408,December,2019,Montgomery,OH,Passenger,0,1,1,47,48,2.08
3409,December,2019,Clark,WA,Truck,0,0,0,81316,81316,0.0
3410,December,2019,Anne Arundel,MD,Passenger,1,2,3,434,437,0.69
3411,December,2019,Oklahoma,OK,Passenger,0,1,1,128,129,0.78
3412,December,2019,Garfield,WA,Passenger,0,1,1,1306,1307,0.08
3413,December,2019,Thurston,WA,Passenger,1052,701,1753,199236,200989,0.87
3414,December,2019,El Paso,CO,Passenger,2,1,3,742,745,0.4
3415,December,2019,Okanogan,WA,Truck,0,0,0,16550,16550,0.0
3416,December,2019,Chelan,WA,Passenger,201,78,279,54622,54901,0.51
3417,December,2019,Whatcom,WA,Truck,2,0,2,43188,43190,0.0
3418,December,2019,Montgomery,AL,Passenger,0,1,1,39,40,2.5
3419,December,2019,Ferry,WA,Passenger,5,2,7,4398,4405,0.16
3420,December,2019,Greene,MO,Passenger,0,1,1,31,32,3.12
3421,December,2019,Richland,SC,Passenger,0,1,1,157,158,0.63
3422,December,2019,Tulsa,OK,Passenger,1,1,2,48,50,4.0
3423,December,2019,Santa Cruz,CA,Passenger,1,0,1,36,37,2.7
3424,December,2019,Frederick,MD,Passenger,1,1,2,81,83,2.41
3425,December,2019,King,WA,Truck,6,1,7,182216,182223,0.0
3426,December,2019,Placer,CA,Passenger,1,0,1,95,96,1.04
3427,December,2019,Maricopa,AZ,Passenger,7,5,12,1498,1510,0.79
3428,December,2019,Duval,FL,Passenger,1,2,3,362,365,0.82
3429,December,2019,Lewis,WA,Truck,0,0,0,26087,26087,0.0
3430,December,2019,Middlesex,MA,Passenger,1,1,2,107,109,1.83
3431,December,2019,Williamson,TX,Passenger,0,2,2,144,146,1.37
3432,December,2019,Sedgwick,KS,Passenger,1,1,2,96,98,2.04
3433,December,2019,Santa Clara,CA,Passenger,7,2,9,351,360,2.5
3434,December,2019,Sarasota,FL,Passenger,2,0,2,25,27,7.41
3435,December,2019,Kitsap,WA,Passenger,1199,652,1851,182349,184200,1.0
3436,December,2019,San Joaquin,CA,Passenger,1,0,1,137,138,0.72
3437,December,2019,Virginia Beach,VA,Passenger,1,0,1,695,696,0.14
3438,December,2019,Asotin,WA,Truck,0,0,0,6709,6709,0.0
3439,December,2019,Putnam,TN,Passenger,0,1,1,3,4,25.0
3440,December,2019,Walla Walla,WA,Truck,0,0,0,13663,13663,0.0
3441,December,2019,Contra Costa,CA,Passenger,3,2,5,343,348,1.44
3442,December,2019,Island,WA,Truck,1,0,1,21356,21357,0.0
3443,December,2019,Harnett,NC,Passenger,1,1,2,206,208,0.96
3444,December,2019,Clallam,WA,Truck,1,0,1,21871,21872,0.0
3445,December,2019,Pacific,WA,Truck,0,0,0,7721,7721,0.0
3446,December,2019,Guadalupe,TX,Passenger,1,0,1,66,67,1.49
3447,December,2019,Multnomah,OR,Passenger,4,6,10,726,736,1.36
3448,December,2019,Spokane,WA,Passenger,643,471,1114,315064,316178,0.35
3449,December,2019,Chesapeake,VA,Passenger,0,2,2,431,433,0.46
3450,December,2019,Pierce,WA,Passenger,2127,1651,3778,547907,551685,0.68
3451,December,2019,San Mateo,CA,Passenger,1,1,2,119,121,1.65
3452,December,2019,Pacific,WA,Passenger,30,30,60,16120,16180,0.37
3453,December,2019,Pinal,AZ,Passenger,1,0,1,190,191,0.52
3454,December,2019,Pierce,WA,Truck,0,0,0,140864,140864,0.0
3455,December,2019,Harrison,MS,Passenger,1,0,1,57,58,1.72
3456,December,2019,Albemarle,VA,Passenger,1,0,1,25,26,3.85
3457,December,2019,Stevens,WA,Passenger,31,31,62,31609,31671,0.2
3458,December,2019,Yakima,WA,Truck,0,0,0,59618,59618,0.0
3459,December,2019,Fairbanks North Star,AK,Passenger,0,1,1,99,100,1.0
3460,December,2019,Jones,GA,Passenger,1,0,1,1,2,50.0
3461,December,2019,Saginaw,MI,Passenger,1,0,1,11,12,8.33
3462,December,2019,District of Columbia,DC,Passenger,1,1,2,213,215,0.93
3463,December,2019,Montgomery,PA,Passenger,2,0,2,35,37,5.41
3464,December,2019,Skagit,WA,Truck,1,0,1,32566,32567,0.0
3465,December,2019,DeKalb,IN,Passenger,1,0,1,1,2,50.0
3466,December,2019,Snohomish,WA,Passenger,4021,1709,5730,536109,541839,1.06
3467,December,2019,Goochland,VA,Passenger,2,1,3,263,266,1.13
3468,December,2019,Bucks,PA,Passenger,1,0,1,21,22,4.55
3469,December,2019,Los Angeles,CA,Passenger,7,9,16,1062,1078,1.48
3470,December,2019,Island,WA,Passenger,375,253,628,63608,64236,0.98
3471,December,2019,Carroll,NH,Passenger,0,1,1,4,5,20.0
3472,December,2019,Polk,FL,Passenger,1,0,1,65,66,1.52
3473,December,2019,Ventura,CA,Passenger,0,3,3,299,302,0.99
3474,December,2019,Manassas,VA,Passenger,0,1,1,6,7,14.29
3475,December,2019,Norfolk,VA,Passenger,1,2,3,348,351,0.85
3476,December,2019,Broward,FL,Passenger,2,1,3,125,128,2.34
3477,December,2019,Prince William,VA,Passenger,1,3,4,234,238,1.68
3478,December,2019,Nueces,TX,Passenger,1,1,2,85,87,2.3
3479,December,2019,Deschutes,OR,Passenger,3,0,3,149,152,1.97
3480,December,2019,Shelby,TN,Passenger,0,1,1,95,96,1.04
3481,December,2019,Arapahoe,CO,Passenger,1,0,1,141,142,0.7
3482,December,2019,Fresno,CA,Passenger,1,0,1,188,189,0.53
3483,December,2019,Jefferson,WA,Passenger,217,134,351,25187,25538,1.37
3484,December,2019,Adams,WA,Passenger,6,7,13,12936,12949,0.1
3485,December,2019,Hudson,NJ,Passenger,1,0,1,38,39,2.56
3486,December,2019,Douglas,WA,Truck,0,0,0,12308,12308,0.0
3487,December,2019,Rogers,OK,Passenger,1,0,1,5,6,16.67
3488,December,2019,Okanogan,WA,Passenger,30,30,60,26236,26296,0.23
3489,December,2019,Vigo,IN,Passenger,1,0,1,6,7,14.29
3490,December,2019,Osceola,FL,Passenger,1,0,1,42,43,2.33
3491,December,2019,Clay,FL,Passenger,0,1,1,86,87,1.15
3492,December,2019,Skamania,WA,Truck,0,0,0,4099,4099,0.0
3493,December,2019,Suffolk,VA,Passenger,1,0,1,124,125,0.8
3494,December,2019,Collin,TX,Passenger,1,1,2,131,133,1.5
3495,December,2019,Travis,TX,Passenger,2,1,3,198,201,1.49
3496,December,2019,Alameda,CA,Passenger,5,1,6,292,298,2.01
3497,December,2019,Randolph,NC,Passenger,1,0,1,7,8,12.5
