,Month_ending,Year,County,State,Primary_use,Battery_BEVs,Hybrid_(PHEVs),EV_Total,Non-Electric_Total,Total_Veh,%_Electric,Proximity,State_Names
352,April,2018,DeKalb,GA,Passenger,1,0,1,83,84,1.19,Furthest,Georgia
353,April,2018,Caddo,LA,Passenger,0,1,1,22,23,4.35,Mid-Distance,Louisiana
354,April,2018,Frederick,MD,Passenger,0,1,1,86,87,1.15,Furthest,Maryland
356,April,2018,Orange,CA,Passenger,3,1,4,568,572,0.7,Nearest,California
358,April,2018,District of Columbia,DC,Passenger,0,3,3,192,195,1.54,Furthest,District of Columbia
362,April,2018,Ramsey,MN,Passenger,1,0,1,39,40,2.5,Mid-Distance,Minnesota
364,April,2018,Nassau,NY,Passenger,1,0,1,37,38,2.63,Furthest,New York
368,April,2018,Clay,FL,Passenger,0,1,1,100,101,0.99,Furthest,Florida
370,April,2018,DuPage,IL,Passenger,1,0,1,63,64,1.56,Mid-Distance,Illinois
372,April,2018,Alameda,CA,Passenger,0,1,1,352,353,0.28,Nearest,California
373,April,2018,Saratoga,NY,Passenger,1,1,2,66,68,2.94,Furthest,New York
374,April,2018,Orange,FL,Passenger,2,1,3,169,172,1.74,Furthest,Florida
375,April,2018,Hamilton,IN,Passenger,1,0,1,47,48,2.08,Furthest,Indiana
376,April,2018,Portsmouth,VA,Passenger,0,1,1,73,74,1.35,Furthest,Virginia
377,April,2018,Juneau,AK,Passenger,0,1,1,46,47,2.13,Nearest,Alaska
378,April,2018,Maui,HI,Passenger,1,0,1,58,59,1.69,Nearest,Hawaii
379,April,2018,Cook,IL,Passenger,1,0,1,271,272,0.37,Mid-Distance,Illinois
382,April,2018,Montgomery,PA,Passenger,1,0,1,35,36,2.78,Furthest,Pennsylvania
383,April,2018,Dale,AL,Passenger,0,1,1,63,64,1.56,Furthest,Alabama
384,April,2018,Contra Costa,CA,Passenger,0,1,1,461,462,0.22,Nearest,California
386,April,2018,DeKalb,IN,Passenger,1,0,1,1,2,50.0,Furthest,Indiana
